date,close,open,high,low
2018/5/2,9324.64,9351.43,9364.61,9294.91
2018/5/1,9351.45,9351.45,9351.45,9351.45
2018/4/30,9319.86,9217.05,9334.45,9217.05
2018/4/27,9168.31,9099.43,9191.05,9093.32
2018/4/26,9046.69,9128.09,9164.36,9001.45
2018/4/25,9159.99,9247.37,9247.37,9140.3
2018/4/24,9273.2,9152.85,9285.5,9152.85
2018/4/23,9190.41,9259.8,9263,9182.36
2018/4/20,9295.08,9396.67,9409.29,9273.93
2018/4/19,9412.7,9291.72,9429.02,9291.72
2018/4/18,9260.97,9234.29,9346.19,9175.09
2018/4/17,9181.52,9281.39,9306.45,9158
2018/4/16,9264.13,9380.54,9388.67,9224.47
2018/4/13,9433.15,9477.65,9527.47,9405.67
2018/4/12,9474.79,9510.85,9554.96,9426.15
2018/4/11,9523.81,9522.64,9587.32,9509.58
2018/4/10,9445.27,9308.97,9461.44,9290.71
2018/4/9,9258.98,9183.43,9321.02,9165.14
2018/4/6,9234.88,9144.19,9273.88,9144.19
2018/4/5,9140.7,9140.7,9140.7,9140.7
2018/4/4,9131.15,9293.79,9330.07,9131.14
2018/4/3,9315.77,9271.04,9340.09,9178.45
2018/4/2,9271.46,9271.46,9271.46,9271.46
2018/3/29,9292.8,9288.13,9355.37,9216.83
2018/3/28,9330.05,9549.99,9549.99,9329.88
2018/3/27,9652.15,9571.03,9697.85,9571.03
2018/3/26,9478.21,9412.89,9479.43,9326.53
2018/3/23,9461.54,9679.35,9679.35,9353.94
2018/3/22,9820.02,9957.79,10020.79,9806.78
2018/3/21,9984.69,10030.88,10151.23,9973.23
2018/3/20,9981.7,9940.6,10003.69,9869.12
2018/3/19,10003.71,10026.8,10062.54,9970.71
2018/3/16,10019.14,10030.8,10049.23,9988.24
2018/3/15,9974.41,9927.56,9990.54,9857.37
2018/3/14,9897.01,9916.63,9916.63,9810.1
2018/3/13,9976.77,9969.59,10014.46,9937.03
2018/3/12,9948.41,9795.95,9949.1,9795.94
2018/3/9,9751.05,9674.75,9760.91,9674.75
2018/3/8,9674.07,9561.09,9694.95,9561.09
2018/3/7,9535.26,9602.31,9667.09,9505.14
2018/3/6,9555.35,9388.94,9593.02,9388.94
2018/3/5,9356.16,9507.75,9553.2,9355.97
2018/3/2,9518.63,9648.11,9648.11,9503.19
2018/3/1,9701.72,9629.54,9714.43,9550.01
2018/2/28,9641.25,9773.97,9774.23,9593.73
2018/2/27,9845.2,9949.83,10015.18,9801.21
2018/2/26,9944.86,9905.98,9991.22,9889.34
2018/2/23,9847.53,9755.04,9880.14,9755.04
2018/2/22,9746.02,9860.31,9860.37,9745.93
2018/2/21,9845.41,9686.26,9853.07,9686.15
2018/2/20,9655.52,9682.77,9751.78,9594.5
2018/2/16,9682.82,9682.82,9682.82,9682.82
2018/2/15,9682.34,9507.77,9691.25,9507.77
2018/2/14,9408.67,9263.73,9439.91,9263.73
2018/2/13,9227.42,9105.9,9320.5,9105.9
2018/2/12,9079.96,9061,9176.47,9061
2018/2/9,9023.48,9271.15,9271.15,8897.08
2018/2/8,9377.89,9362.82,9462.13,9321.59
2018/2/7,9413.7,9482.07,9752.3,9400.77
2018/2/6,9437.16,9901.57,9901.57,9430.09
2018/2/5,9977.87,10046.86,10046.86,9819.46
2018/2/2,10131.5,10115.77,10184.6,10034.14
2018/2/1,10215.41,10283.34,10356.09,10215.19
2018/1/31,10248.09,10195.59,10269.13,10110.37
2018/1/30,10250.93,10382.87,10382.89,10230.66
2018/1/29,10422.19,10462.18,10552.22,10386.32
2018/1/26,10380.45,10224.17,10392.23,10224.17
2018/1/25,10192.35,10305.59,10312.27,10181.04
2018/1/24,10281.52,10281.39,10297.24,10206.13
2018/1/23,10228.25,10077.57,10228.28,10077.57
2018/1/22,10077.47,10008.22,10082.12,9959.2
2018/1/19,10004.95,9937.44,10007.83,9928.43
2018/1/18,9937.63,9891.44,9967.66,9873.17
2018/1/17,9876.51,9853.08,9877.1,9778.96
2018/1/16,9888.31,9723.14,9888.6,9723.14
2018/1/15,9723.24,9811.62,9882.13,9712.99
2018/1/12,9804.48,9693.38,9804.51,9693.38
2018/1/11,9699.2,9739.18,9739.88,9663.86
2018/1/10,9759.72,9758.97,9823.35,9733.8
2018/1/9,9745.69,9727.35,9767.07,9709.95
2018/1/8,9711.39,9649.99,9711.5,9649.99
2018/1/5,9598.74,9577.98,9628.22,9542.65
2018/1/4,9565.83,9493.77,9589.65,9493.77
2018/1/3,9478.26,9441.86,9532.43,9441.86
2018/1/2,9323.03,9137.57,9323.72,9137.4
