600130,"Ningbo Bird Co., Ltd. manufactures and markets cellular phones, pagers, and solar batteries.  The Company sells its products domestically."
600131,"State Grid Information & Communication Co.,Ltd. generates, transmits, and distributes electricity. The Company provides power transmission, power system management, power network maintenance, and other related services. State Grid Information & Communication supplies electricity to the Abazhou area in Sichuan province."
600132,"Chongqing Brewery Co., Ltd. manufactures and markets beer products.  The Company also produces medical preparations and capsules."
600133,"Wuhan East Lake High Technology Group Co.,Ltd. offers infrastructure construction services. The Company provides technology industrial zones construction, plants construction, and other services. Wuhan East Lake High Technology Group also operates chromium slag comprehensive treatment, power generation, facility loans, and other businesses."
600135,"Lucky Film Co., Ltd. manufactures and markets color films, photographic paper, filmstrips, and other photosensitive materials.  The Company sells its products under the Lucky brand name."
600136,"Wuhan DDMC Culture & Sports Co.,Ltd. operates sports and cultural businesses. The Company provides sports marketing, sports agency, club operation, sports copyright management, and sports video platform operation services. Wuhan DDMC Culture & Sports also conducts television series and movie production, variety show making, and entertainment marketing businesses."
600137,"Sichuan Langsha Holding Co., Ltd. produces and markets socks for men, women, and children. The Company also produces wallets."
600138,"China CYTS Tours Holding Co., Ltd. provides travel information and arrangement services.  Through its subsidiaries, the Company also manufactures medical instrument, provides system integration services for the insurance industry, and develops real estate."
600139,"Sichuan Western Resources Holding Co.,Ltd. mines and distributes metal products. The Company produces copper, gold, silver, and other products. Sichuan Western Resources Holding also operates asset management, investment, and other businesses."
600141,"Hubei Xingfa Chemicals Group Co.,Ltd manufactures and distributes phosphoric chemicals. The Company produces yellow phosphorus, glyphosate, phosphorus trichloride, phosphoric acid, and other chemicals. Hubei Xingfa Chemicals Group markets its products to the United States, Japan, Brazil, and Vietnam."
600143,"Kingfa Sci. & Tech. Co., Ltd. manufactures plastic products. The Company produces modified plastics, biodegradable plastics, special engineering plastics, and other plastic products. Kingfa Sci. & Tech. also produces carbon fiber, composite materials, and other products."
600145,"Xinjiang Yilu Wanyuan Industrial Investment Holding Co., Ltd manufactures and markets bathroom ceramic products and metal accessories. The Company's products include ceramic tiles, bathtubs, metal taps, and other related products."
600146,"Shangying Global Co., Ltd. designs, manufactures, and distributes apparel. The company also manufactures and markets industrial plastics."
600148,"Changchun Yidong Clutch Co., Ltd. manufactures and markets a variety of automobile clutches.  The Company supplies its products to manufacturers of cars, buses, and farm vehicles."
600149,Langfang Development Co. Ltd. operates metal distribution businesses. The Company sells steels and other metal materials. Langfang Development conducts businesses in China.
600150,"China CSSC Holdings Ltd. offers shipbuilding, ship components, ship repairing and diesel engines manufacturing. The Company distributes its products within the domestic market and to overseas markets."
600151,"Shanghai Aerospace Automobile Electromechanical Co., Ltd. manufactures and markets automobile air conditioners, sensors, antennae, and other auto parts. The Company also researches and develops aerospace and solar energy."
600152,"Veken Technology.,Ltd. develops and manufactures new energy lithium batteries. The Company produces polymer lithium electronic batteries, aluminum shell lithium electronic batteries, and more. Veken Technology also provides cell manufacturing, packaging, and system integration solutions."
600153,"Xiamen C & D Inc. offers logistics services. The Company provides intensive logistics procurement, transportation route planning, cargo flow tracking, cargo risk management, inventory management, and other services. Xiamen C & D also operates real estate development, financing, and other businesses."
600155,"Polaris Bay Group Co., Ltd. operates securities businesses. The Company provides securities brokerage, securities investment consulting, investment banking, credit trading, asset management, and other services. Polaris Bay Group also offers polyvinyl chloride pipe manufacturing services."
600156,"Hunan Huasheng Co., Ltd. manufactures and sells ramie textile products including ramie cloth and yarn."
600157,"Wintime Energy Co.,Ltd. offers coal operation services. The Company mines and processes raw coal, washed coal, and other coal chemicals. Wintime Energy also conducts power generation, petroleum trade, new energy, investment, and logistics businesses."
600158,"China Sports Industry Group Co., Ltd. manufactures, processes and sells sporting goods.  The company also involves in the development and sales of property, construction and operation of sports stadiums and sports facilities."
600159,"Beijing Dalong Weiye Real Estate Development Co., Ltd. develops and manages residential and commercial real estate properties. The Company also undertakes construction projects."
600160,"Zhejiang Juhua Co. Ltd. manufactures and markets chemical products.  The Company's products include alkali products, fluoride products, ammonia products, acid products, pesticides, biochemicals, and other chemical products."
600161,"Beijing Tiantan Biological Products Corporation Limited researches, develops, and commercializes biological products.  The Company provides treatment for hepatitis and offers a line of vaccine products including hepatitis vaccines and rubella vaccines."
600162,"Shenzhen Heungkong Holding Co.,Ltd. as a real estate development company. The Company develops and markets high-rise residential buildings, low-rise apartments, villas, commercial facilities, office buildings, and other related areas. Shenzhen Heungkong Holding markets its buildings throughout China."
600163,"Zhongmin Energy Co., Ltd. operates in the electricity generation industry. The Company produces and markets energy from wind and solar power stations throughout China."
600165,"Ningxia Xinri Hengli Steel Wire Co Ltd manufactures and markets ropes and wire products.  Through its subsidiaries, the Company also invests in construction engineering, coal mining, apparel processing, and agricultural machinery processing businesses."
600166,"Beiqi Foton Motor Co., Ltd. manufactures and markets automobiles and parts. The Company produces light trucks, medium trucks, heavy trucks, passenger cars, and engine parts. Beiqi Foton Motor also conducts automotive wholesale businesses domestically and internationally."
600167,"Luenmei Quantum Co., Ltd. transfers land, leases properties, and provides civil engineering services. The Company also supplies heat and water throughout China."
600168,"Wuhan Sanzhen Industry Holding Co.,Ltd offers water network services. The Company provides water production, sewage treatment, and water transmission services. Wuhan Sanzhen Industry Holding also conducts tunnel operation and infrastructure construction businesses."
600169,"Taiyuan Heavy Industry Co., Ltd. manufactures and markets cranes, vehicle gear boxes, steel rolling equipment, bearings, steel wheels, train wheel axles, air compressing furnaces, pressure containers, and other related products.  The Company also provides machinery installation and repair services."
600170,"Shanghai Construction Group Co., Ltd. provides construction services. The Company constructs residential buildings, industrial buildings, municipal buildings, public infrastructure facilities, and more. Shanghai Construction Group offers services worldwide."
600171,"Shanghai Belling Co., Ltd. designs, manufactures, and sells integrated circuits which are used in telecommunications and multi-media systems.  The Company also processes silicon chips and produces other electronic components."
600172,"Henan Huanghe Whirlwind Co., Ltd manufactures advanced materials. The Company produces and sells diamond abrasives, diamond grinding apparatus, and other diamond products. Henan Huanghe Whirlwind also produces and sells construction machinery and new material processing tools."
600173,"Wolong Real Estate Group Co., Ltd. operates real estate businesses. The Company provides housing renovation, housing loans, real estate brokerage, property management, and other businesses. Wolong Real Estate Group also operates engineering designing, engineering construction, and other businesses."
600175,"MeiDu Energy Corporation explores and process energy products. The Company produces crude oil, natural gas, and other energy products. MeiDu Energy also operates finance, investment, real estate development, and other businesses."
600176,"China Jushi Co., Ltd. manufactures and markets advanced materials. The Company produces glass fibers, composite materials, and other products. China Jushi sells its products to United States, Canada, South Africa, France, Italy, Spain, Japan, Korea, India, and other countries and regions."
600177,"Youngor Group Co.,Ltd manufactures and distributes apparel products. The Company produces shirts, suits, casual wear, ties, and other accessories. Youngor Group also conducts real estate development and tourism businesses."
600178,"Harbin Dongan Auto Engine Co., Ltd. manufactures and markets a variety of mini-engines, speed transmissions, and other auto parts.   The Company's mini-engines are primarily used on mini vans, mail delivery cars, and other mini vehicles."
600179,"Antong Holdings Co.,Ltd. operates as an investment company. The Company provides industrial investment, investment consulting, and other services. Antong Holdings also operates cargo transportation, warehousing, and other businesses."
600180,"CCS Supply Chain Management Co., Ltd. operates supply chain businesses. The Company provides supply chain management, financing, and supply chain portable services. CCS Supply Chain Management focuses in coal, iron, and cotton trading areas."
600182,Giti Tire Corporation manufactures and markets tires.  The Company's products include cross-ply tires and radial tires.
600183,"Shengyi Technology Co.,Ltd. manufactures and markets electronic components. The Company produces include copper clad plates, insulating laminated sheets, double sided circuit boards, high multilayer circuit boards, and other products. Shengyi Technology also operates house loans."
600184,"North Electro-Optic Co., Ltd. manufactures and markets optical glass products. The Company also produces nucleated glass plate and electro-optical materials."
600185,"Gree Real Estate Co.,Ltd operates real estate businesses. The Company provides housing renovation, housing loans, real estate brokerage, property management, and other services. Gree Real Estate also operates industrial investment, building materials sales, and other businesses."
600186,"Lotus Health Industry Holding Group Company processes agriculture products. The Company produces and markets monosodium glutamate, flours, fertilizers, and other related products."
600187,Heilongjiang Interchina Watertreatment Co Ltd. operates in the water supply and sewage treatment businesses.
600188,"Yanzhou Coal Mining Company Limited operates coal businesses. The Company produces fine coal, blown coal, power coal, and coal chemical products. Yanzhou Coal Mining also conducts power generation, railway transport, machinery manufacturing, and heating businesses."
600189,"Jilin Forest Industry Co., Ltd. manufactures and markets a variety of forest products.  The Company's products include timber, veneer, impregnated paper, silvi chemicals, and other related products.  The Company also imports timber products and manufactures nutritional products."
600190,"Jinzhou Port Co.,Ltd. operates ports and harbors. The Company provides loading, unloading, warehousing, port facilities management, and other services. Jinzhou Port also operates house loans, power supply, property management, and other businesses."
600191,"Baotou Huazi Industry Co., Ltd. manufactures and markets beet sugar and electronic products.  The Company's products include beet sugar, edible alcohol, quartz-crystal resonators, computers, and other electronic components. The company also sells its quartz-crystal resonators."
600192,"Lanzhou Great Wall Electrical Co., Ltd. manufactures and markets a variety of electrical products, including power generators, large and middle size alternative and direct electric machines, high and middle voltage switches, electric transmission controlling devices, and other electrical components. The Company also manufactures condensed juice."
600193,"Shanghai Prosolar Resources Development Company Ltd. is an industrial investment company. The Company is also engaged in iron ore mining, production, and sales."
600195,"China Animal Husbandry Industry Co., Ltd. researches and manufactures agricultural biochemical products. The Company produces animal biological products, veterinary drugs, feed, and feed additives. China Animal Husbandry Industry also conducts raw material trade businesses."
