,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
115,601011.SS,5.36B,0.87,0.85,-0.01%,0.50%,-0.28%
116,300269.SZ,2.19B,1.09,N/A,-56.73%,-1.81%,-118.79%
117,600105.SS,5.69B,2.05,0.99,-3.54%,-1.81%,-1.71%
118,000156.SZ,13.37B,1.23,0.85,15.00%,1.44%,5.09%
119,600480.SS,4.68B,1.02,1.10,-1.99%,0.52%,-0.25%
120,002230.SZ,75.76B,6.76,1.05,6.15%,0.79%,6.91%
121,000501.SZ,8.84B,0.98,0.83,4.65%,2.55%,7.46%
122,601908.SS,5.94B,0.86,0.64,14.70%,1.48%,5.36%
123,600592.SS,5.55B,2.92,N/A,-1.10%,0.78%,-0.97%
124,002342.SZ,3.00B,1.23,0.62,0.84%,1.15%,0.67%
125,002956.SZ,4.42B,3.38,N/A,16.14%,N/A,15.22%
126,603666.SS,8.82B,8.14,N/A,33.41%,11.74%,22.50%
127,002781.SZ,3.24B,1.62,0.17,0.41%,1.32%,0.12%
128,600209.SS,1.53B,2.63,N/A,-38.86%,-3.69%,-8.89%
129,300223.SZ,17.34B,13.98,0.65,19.78%,1.38%,5.71%
130,002955.SZ,8.53B,3.00,N/A,5.49%,5.45%,13.14%
131,688218.SS,2.95B,7.77,N/A,N/A,N/A,N/A
132,600715.SS,4.84B,0.76,N/A,0.58%,1.65%,-0.06%
133,688138.SS,4.82B,8.22,N/A,15.38%,6.29%,12.55%
134,600303.SS,2.27B,0.81,N/A,2.47%,-2.01%,1.97%
135,000839.SZ,12.19B,1.34,N/A,0.19%,-0.56%,-0.43%
136,000859.SZ,3.37B,2.07,1.20,6.89%,0.30%,4.71%
137,000876.SZ,132.51B,5.50,-0.30,6.95%,5.90%,22.93%
138,603318.SS,2.77B,3.07,N/A,-25.69%,-2.22%,-11.01%
139,600731.SS,2.28B,1.99,0.87,6.28%,8.60%,12.36%
140,000561.SZ,3.69B,2.68,N/A,4.55%,0.16%,3.70%
141,603327.SS,9.93B,7.80,N/A,21.12%,14.72%,27.48%
142,600078.SS,3.51B,2.01,0.60,1.88%,2.61%,6.12%
143,688299.SS,5.47B,7.70,N/A,15.31%,N/A,N/A
144,600687.SS,1.67B,0.37,N/A,-289.39%,-0.47%,-105.54%
145,002501.SZ,1.90B,0.68,1.20,0.00%,-4.20%,-87.47%
146,603106.SS,2.73B,1.69,0.97,-3.05%,-4.03%,-2.01%
147,300011.SZ,3.35B,1.71,0.40,0.62%,1.38%,0.22%
148,603501.SS,134.63B,17.62,0.81,5.82%,7.03%,18.80%
149,300352.SZ,10.54B,4.51,1.34,3.38%,0.24%,1.04%
150,300321.SZ,1.49B,2.34,0.64,8.62%,2.58%,6.20%
151,603683.SS,1.38B,1.74,0.45,0.16%,-0.54%,-0.10%
152,600176.SS,27.67B,1.77,N/A,18.58%,4.58%,12.21%
153,002469.SZ,2.27B,1.90,0.74,13.48%,2.32%,5.80%
154,601985.SS,68.49B,1.39,0.73,9.27%,3.11%,8.67%
155,600511.SS,21.34B,2.02,0.43,3.62%,5.92%,15.47%
156,600131.SS,19.85B,15.13,N/A,6.28%,N/A,N/A
157,002484.SZ,6.41B,1.87,0.69,11.34%,3.78%,7.53%
158,600532.SS,1.72B,1.03,N/A,0.75%,1.41%,2.46%
159,002968.SZ,4.62B,15.81,N/A,9.70%,N/A,N/A
160,603429.SS,9.67B,9.01,1.12,27.22%,6.15%,17.37%
161,600378.SS,15.60B,2.66,N/A,11.30%,3.61%,9.51%
162,000701.SZ,1.70B,0.41,N/A,-2.97%,1.15%,-64.60%
163,300592.SZ,1.27B,2.45,0.37,1.61%,0.42%,1.28%
164,600070.SS,4.91B,1.80,0.62,12.29%,2.10%,13.59%
165,002472.SZ,3.35B,0.91,0.88,0.57%,0.96%,0.49%
166,600202.SS,1.62B,2.42,0.49,5.27%,2.00%,7.27%
167,300554.SZ,1.27B,2.55,0.74,4.70%,1.17%,2.14%
168,603677.SS,1.96B,1.83,0.19,4.32%,2.88%,6.40%
169,603999.SS,3.27B,1.91,0.71,6.64%,0.70%,3.64%
170,300302.SZ,4.77B,4.10,0.61,1.54%,0.61%,0.49%
171,002890.SZ,1.99B,3.70,0.23,2.10%,-0.19%,1.06%
172,002064.SZ,21.78B,5.30,0.95,13.79%,10.27%,25.93%
