,company,mkt_cap,pb_ratio,beta,profit_m,roa,roe
1922,600337.SS,7.30B,1.61,0.45,2.62%,1.29%,2.70%
1923,600107.SS,3.03B,4.97,0.35,6.10%,-1.42%,3.44%
1924,000159.SZ,2.40B,1.12,N/A,-5.45%,-1.13%,-1.13%
1925,600966.SS,10.47B,1.98,0.60,1.93%,2.89%,3.66%
1926,000089.SZ,15.63B,1.30,0.81,8.67%,1.64%,2.62%
1927,601888.SS,131.21B,6.74,0.91,5.26%,7.13%,10.96%
1928,300578.SZ,8.02B,7.88,0.21,13.20%,3.07%,7.08%
1929,603589.SS,24.82B,3.78,0.59,34.70%,12.72%,20.31%
1930,603908.SS,1.51B,3.38,-0.05,7.30%,2.98%,8.80%
1931,600132.SS,22.03B,16.29,0.78,18.32%,8.06%,47.70%
1932,300805.SZ,10.44B,9.17,N/A,6.17%,N/A,N/A
1933,300318.SZ,3.87B,3.80,0.75,-0.73%,0.86%,-0.35%
1934,601101.SS,4.81B,0.56,0.61,1.35%,1.97%,1.50%
1935,600318.SS,4.50B,3.52,0.21,3.87%,2.08%,4.80%
1936,002122.SZ,1.78B,0.66,1.16,-137.50%,-16.63%,-56.77%
1937,002107.SZ,3.87B,6.16,1.00,14.19%,8.46%,17.07%
1938,300377.SZ,7.46B,2.69,1.35,13.35%,-1.19%,1.70%
1939,002162.SZ,2.77B,2.83,0.74,2.39%,1.54%,2.56%
1940,002534.SZ,5.57B,1.71,1.10,8.52%,2.39%,11.97%
1941,600661.SS,4.55B,4.24,0.78,0.38%,-2.74%,-3.82%
1942,300650.SZ,1.51B,2.87,0.08,7.74%,3.61%,7.48%
1943,002872.SZ,1.71B,0.55,0.31,-5.57%,-0.70%,-2.73%
1944,300594.SZ,2.48B,3.12,N/A,14.16%,5.41%,12.19%
1945,600091.SS,1.48B,1.64,N/A,40.32%,N/A,1.08%
1946,603656.SS,2.01B,2.19,0.01,16.19%,1.06%,6.57%
1947,300821.SZ,14.36B,6.81,N/A,N/A,N/A,N/A
1948,002827.SZ,2.45B,3.24,0.25,4.28%,1.18%,2.13%
1949,600749.SS,1.86B,1.72,0.24,5.49%,0.16%,1.02%
1950,002671.SZ,2.10B,1.05,0.07,0.70%,-0.08%,0.40%
1951,600235.SS,1.52B,1.18,0.88,1.41%,1.13%,1.45%
1952,300670.SZ,2.28B,3.73,-0.05,7.02%,1.25%,3.28%
1953,601566.SS,5.93B,1.38,0.40,6.17%,1.30%,3.22%
1954,300397.SZ,8.71B,7.89,1.16,9.01%,5.86%,13.71%
1955,002687.SZ,1.84B,1.72,0.48,12.98%,6.82%,12.01%
1956,300758.SZ,2.87B,2.57,N/A,17.92%,7.59%,11.59%
1957,300493.SZ,4.12B,5.54,-0.32,2.03%,0.53%,3.80%
1958,002840.SZ,4.17B,2.92,0.08,1.51%,3.09%,9.72%
1959,300718.SZ,3.74B,3.27,0.12,21.95%,5.21%,10.65%
1960,002302.SZ,12.66B,1.78,1.23,2.70%,2.95%,8.06%
1961,600833.SS,2.01B,2.85,0.86,4.01%,1.85%,7.65%
1962,300787.SZ,4.22B,3.83,N/A,10.14%,N/A,13.41%
1963,002113.SZ,2.10B,0.87,0.97,0.00%,4.17%,-172.01%
1964,603856.SS,2.83B,1.66,-0.07,10.88%,6.64%,11.81%
1965,600076.SS,3.96B,0.97,N/A,19.62%,5.14%,9.85%
1966,002071.SZ,1.15B,5.81,0.94,-221.11%,-29.31%,N/A
1967,002047.SZ,6.25B,1.50,0.61,2.38%,0.92%,3.52%
1968,300183.SZ,6.61B,2.26,0.78,24.50%,2.48%,6.69%
1969,603222.SS,15.68B,18.58,N/A,7.13%,2.00%,4.56%
1970,603198.SS,12.94B,2.93,0.10,23.91%,10.05%,16.73%
1971,600827.SS,13.41B,0.78,N/A,1.90%,1.71%,4.35%
1972,002355.SZ,3.54B,1.26,N/A,0.58%,N/A,1.09%
1973,600198.SS,7.86B,N/A,0.62,-67.43%,-4.13%,-104.93%
1974,600565.SS,6.80B,0.83,N/A,6.58%,2.44%,16.05%
1975,603366.SS,4.14B,1.33,N/A,2.45%,0.88%,2.79%
1976,300447.SZ,3.20B,3.06,-0.77,20.72%,3.32%,10.59%
1977,002553.SZ,1.64B,2.38,0.60,11.62%,3.61%,6.59%
1978,300244.SZ,14.56B,3.64,0.65,3.45%,5.17%,9.72%
1979,002823.SZ,2.91B,2.25,0.29,3.26%,2.17%,4.68%
1980,603848.SS,4.80B,3.52,0.56,22.20%,9.21%,17.67%
1981,002859.SZ,9.25B,5.84,0.20,14.27%,4.06%,9.17%
1982,603010.SS,4.10B,3.28,N/A,9.39%,5.30%,13.26%
1983,600079.SS,18.41B,1.79,N/A,3.86%,4.74%,9.56%
1984,002895.SZ,4.44B,2.23,0.66,11.34%,5.59%,10.12%
1985,002627.SZ,3.00B,1.37,N/A,2.97%,1.54%,2.73%
1986,002971.SZ,3.38B,5.70,N/A,12.50%,5.54%,10.07%
1987,600189.SS,2.38B,0.79,N/A,-23.85%,3.30%,-13.11%
1988,000301.SZ,19.14B,1.42,N/A,6.17%,3.88%,9.72%
1989,603590.SS,5.99B,2.25,N/A,26.39%,3.63%,9.30%
1990,603987.SS,4.83B,3.01,0.05,8.75%,5.48%,11.62%
1991,603297.SS,3.54B,3.25,N/A,24.87%,6.18%,12.85%
1992,002087.SZ,3.33B,0.82,0.40,4.99%,3.70%,6.45%
1993,600008.SS,17.17B,0.99,1.04,6.24%,2.13%,4.14%
1994,601086.SS,3.28B,1.84,N/A,3.88%,2.58%,4.56%
1995,002825.SZ,2.09B,2.94,-0.02,3.86%,2.79%,6.36%
1996,300139.SZ,1.96B,1.76,0.24,-97.18%,-2.10%,-13.00%
1997,603187.SS,3.57B,2.44,N/A,14.32%,6.35%,15.73%
1998,300304.SZ,3.33B,1.71,0.62,19.73%,1.78%,6.49%
1999,300391.SZ,3.40B,2.33,0.68,-118.37%,-4.04%,-63.69%
2000,000610.SZ,1.82B,2.10,0.91,-4.86%,-2.56%,-4.79%
2001,002344.SZ,4.90B,0.64,0.73,18.36%,1.78%,3.08%
2002,300383.SZ,36.93B,4.54,0.17,10.79%,5.42%,10.13%
2003,603156.SS,26.93B,2.35,0.66,37.98%,9.79%,18.49%
2004,603823.SS,6.52B,4.25,0.03,11.59%,6.94%,14.32%
2005,002557.SZ,22.87B,6.62,0.44,12.92%,8.11%,17.68%
2006,002284.SZ,3.40B,1.25,0.88,-4.47%,-1.04%,-4.55%
2007,002555.SZ,68.99B,10.58,0.39,16.68%,17.59%,37.63%
2008,600900.SS,380.38B,2.62,0.17,42.15%,5.68%,14.05%
2009,600096.SS,8.02B,1.67,0.64,0.10%,2.03%,1.47%
2010,600875.SS,24.65B,0.89,1.25,4.11%,0.27%,4.54%
2011,300615.SZ,3.19B,6.73,-0.14,7.63%,0.39%,3.44%
2012,603233.SS,34.46B,9.81,-0.33,6.70%,8.05%,19.66%
2013,000016.SZ,15.47B,2.42,0.37,-0.18%,-2.21%,-1.01%
2014,000534.SZ,4.70B,4.96,0.52,16.39%,1.97%,9.58%
2015,603679.SS,4.59B,6.92,0.56,12.59%,7.12%,15.10%
2016,002801.SZ,3.85B,3.79,1.20,22.18%,8.30%,17.45%
2017,601996.SS,3.19B,1.18,0.66,7.33%,2.21%,4.59%
2018,300154.SZ,2.44B,1.49,N/A,23.38%,2.21%,6.89%
2019,002514.SZ,2.48B,2.42,0.56,1.78%,0.39%,1.13%
2020,300540.SZ,1.54B,2.75,N/A,-1.40%,0.06%,-0.60%
2021,002147.SZ,3.07B,0.41,-0.07,0.00%,-0.08%,-98.40%
2022,603416.SS,4.93B,4.27,0.22,26.36%,7.57%,15.32%
2023,002396.SZ,21.36B,5.05,0.89,6.22%,5.63%,17.21%
2024,300005.SZ,3.07B,1.26,0.66,4.97%,-0.72%,2.40%
2025,688007.SS,10.63B,5.57,N/A,10.90%,N/A,N/A
2026,000528.SZ,9.22B,0.91,N/A,5.30%,3.39%,10.26%
2027,603995.SS,4.84B,2.97,N/A,N/A,N/A,N/A
2028,600821.SS,1.59B,35.10,0.96,0.00%,-5.30%,-244.70%
2029,600223.SS,6.71B,2.60,1.48,3.53%,0.51%,10.34%
2030,688389.SS,7.79B,7.42,N/A,N/A,N/A,N/A
2031,300024.SZ,21.33B,3.32,0.79,10.17%,1.00%,4.18%
2032,300416.SZ,3.83B,4.94,1.14,9.89%,3.92%,11.37%
2033,601688.SS,204.49B,1.28,1.30,36.53%,1.75%,7.75%
2034,002649.SZ,4.73B,1.75,0.71,5.76%,2.81%,8.26%
2035,600419.SS,3.44B,3.43,0.56,7.90%,4.55%,9.42%
2036,300215.SZ,5.63B,2.67,0.87,14.33%,2.29%,5.21%
2037,002252.SZ,52.51B,4.58,-0.04,25.61%,3.25%,3.86%
2038,002017.SZ,5.28B,3.81,0.45,3.25%,0.21%,2.56%
2039,601989.SS,96.00B,1.14,0.78,0.21%,-0.46%,0.05%
2040,000063.SZ,181.72B,6.85,0.87,5.94%,2.32%,14.22%
2041,000922.SZ,3.58B,1.70,0.58,15.07%,7.77%,15.10%
2042,002278.SZ,2.07B,1.85,0.74,4.35%,0.43%,3.40%
2043,600758.SS,4.48B,0.81,1.21,-2.32%,0.53%,-2.81%
2044,000759.SZ,4.73B,1.39,0.82,-1.24%,-0.33%,-5.29%
2045,000150.SZ,4.47B,1.85,N/A,-101.08%,-0.39%,-96.91%
2046,603619.SS,5.13B,2.14,N/A,0.65%,N/A,0.67%
2047,603899.SS,42.60B,10.82,0.45,9.49%,11.39%,24.48%
2048,600677.SS,2.38B,4.84,N/A,-20.57%,-4.56%,N/A
2049,601669.SS,60.28B,0.69,0.82,2.08%,1.65%,6.30%
2050,002573.SZ,6.20B,1.27,0.51,12.84%,2.59%,8.36%
2051,002295.SZ,1.57B,1.33,0.70,0.58%,1.72%,2.26%
2052,002293.SZ,7.38B,1.91,0.82,10.26%,5.75%,11.73%
2053,603626.SS,4.34B,2.56,0.88,-8.64%,-2.32%,-9.57%
2054,600372.SS,22.73B,2.90,0.74,8.03%,2.28%,8.51%
2055,603458.SS,3.58B,1.48,0.41,16.74%,5.95%,16.96%
2056,002234.SZ,8.80B,3.70,0.85,45.90%,25.58%,62.26%
2057,603709.SS,2.02B,3.21,0.29,1.92%,-0.53%,3.36%
2058,600537.SS,3.53B,0.98,N/A,-10.15%,-0.77%,-9.99%
2059,001872.SZ,25.77B,0.82,0.29,18.15%,1.04%,7.11%
2060,300631.SZ,1.70B,2.62,0.39,12.08%,3.60%,9.15%
2061,300023.SZ,2.52B,8.13,1.04,0.00%,-9.89%,-76.35%
2062,600798.SS,4.15B,1.17,0.44,7.13%,4.38%,7.08%
2063,300440.SZ,4.91B,4.03,0.44,19.11%,4.18%,9.94%
2064,603385.SS,4.00B,1.18,0.13,9.99%,4.16%,9.16%
2065,000608.SZ,3.86B,1.32,0.69,-32.70%,0.14%,-1.74%
2066,600487.SS,31.57B,2.35,N/A,3.68%,3.24%,6.93%
2067,600420.SS,10.12B,1.34,-0.02,4.92%,3.59%,9.46%
2068,688080.SS,4.13B,13.85,N/A,19.16%,N/A,N/A
2069,000903.SZ,8.47B,1.53,0.11,2.43%,1.07%,2.85%
2070,000671.SZ,28.57B,1.15,1.20,6.71%,1.47%,9.14%
2071,000413.SZ,16.80B,0.51,0.38,8.43%,2.52%,6.29%
2072,000813.SZ,11.90B,2.12,0.23,17.44%,2.76%,5.50%
2073,002221.SZ,14.40B,1.56,1.01,2.34%,2.92%,11.28%
2074,600278.SS,4.83B,1.22,0.99,0.11%,0.96%,1.65%
2075,002498.SZ,12.71B,2.58,0.59,7.59%,4.79%,9.48%
2076,000619.SZ,1.77B,0.72,0.71,-0.31%,-0.89%,-0.48%
2077,002426.SZ,7.06B,0.93,0.54,-23.44%,-2.14%,-46.29%
2078,688278.SS,11.92B,21.15,N/A,8.81%,9.09%,12.10%
2079,603306.SS,4.23B,1.81,N/A,23.82%,4.80%,8.88%
2080,601229.SS,117.06B,0.68,0.38,62.77%,0.94%,11.76%
2081,002841.SZ,51.14B,10.93,0.32,9.71%,11.16%,34.73%
2082,600033.SS,7.49B,0.78,0.70,24.18%,4.78%,6.79%
2083,601069.SS,8.76B,5.12,0.38,0.12%,1.54%,0.30%
2084,002356.SZ,891.99M,N/A,N/A,-225.64%,0.76%,N/A
2085,000811.SZ,4.64B,1.32,0.89,7.57%,4.41%,7.63%
2086,603185.SS,6.44B,3.77,N/A,18.34%,5.24%,12.25%
2087,603889.SS,2.51B,1.06,0.26,6.41%,2.07%,6.60%
2088,300143.SZ,5.43B,2.61,0.37,-126.35%,1.92%,-41.33%
2089,300306.SZ,2.99B,2.09,0.72,28.51%,2.80%,8.05%
2090,603058.SS,2.74B,2.82,1.63,33.00%,6.93%,15.21%
2091,600577.SS,5.23B,1.47,0.70,3.72%,6.68%,12.87%
2092,603363.SS,9.35B,11.17,0.27,2.63%,5.28%,24.44%
2093,002495.SZ,2.79B,2.35,0.61,3.41%,0.44%,0.72%
2094,601226.SS,4.38B,1.22,0.49,0.63%,0.26%,1.19%
2095,600650.SS,4.13B,1.35,0.64,10.54%,1.23%,8.36%
2096,300580.SZ,3.39B,2.23,0.34,20.69%,5.80%,11.24%
2097,002545.SZ,8.83B,1.15,0.70,11.96%,1.48%,4.22%
2098,600756.SS,6.00B,2.55,N/A,0.98%,-1.06%,0.57%
2099,600233.SS,36.61B,2.90,N/A,5.35%,N/A,N/A
2100,300550.SZ,3.26B,5.39,-0.62,8.20%,2.00%,5.94%
2101,002759.SZ,2.94B,1.09,0.46,-12.21%,-0.11%,-2.76%
2102,002567.SZ,7.15B,2.07,0.67,2.63%,5.19%,12.77%
2103,000938.SZ,72.24B,2.62,0.47,3.32%,3.87%,9.05%
2104,600292.SS,3.88B,0.78,0.81,2.17%,1.08%,1.71%
2105,002937.SZ,3.91B,4.24,N/A,12.70%,5.46%,13.67%
2106,300019.SZ,2.98B,3.35,0.98,12.85%,8.36%,15.21%
2107,601038.SS,6.43B,1.58,1.10,3.72%,-1.62%,5.60%
2108,600048.SS,177.44B,1.38,0.92,11.81%,3.13%,17.77%
2109,300258.SZ,4.14B,2.09,0.68,12.03%,4.06%,6.94%
2110,300235.SZ,2.69B,4.24,0.10,31.33%,1.45%,5.32%
2111,000028.SZ,15.91B,1.37,0.30,2.31%,3.11%,9.55%
2112,603977.SS,3.76B,1.96,-0.56,10.24%,2.97%,7.10%
2113,002642.SZ,4.43B,1.57,0.41,0.89%,0.52%,0.93%
2114,600779.SS,21.03B,10.89,1.11,23.93%,17.26%,36.48%
2115,300509.SZ,1.78B,2.97,-0.49,5.00%,0.87%,7.07%
2116,600152.SS,2.53B,1.83,0.67,-3.59%,-1.35%,-4.36%
2117,300110.SZ,4.81B,2.21,1.09,3.14%,1.83%,2.02%
2118,002304.SZ,126.29B,3.48,1.13,34.24%,9.55%,18.93%
2119,000601.SZ,5.94B,1.23,0.36,8.60%,3.52%,7.36%
2120,600459.SS,6.00B,1.91,1.28,1.56%,4.00%,10.62%
2121,601111.SS,85.77B,1.01,N/A,-0.93%,1.63%,-1.66%
2122,603117.SS,2.27B,1.00,-0.71,6.80%,2.47%,3.12%
2123,000915.SZ,5.40B,3.12,1.17,12.73%,9.41%,16.44%
2124,600498.SS,38.69B,3.77,0.41,2.74%,1.30%,6.12%
2125,688002.SS,17.07B,7.62,N/A,30.10%,N/A,N/A
2126,600513.SS,3.17B,3.23,0.92,6.15%,4.23%,8.66%
2127,603300.SS,4.70B,2.73,0.23,21.53%,5.81%,10.56%
2128,603077.SS,12.81B,1.14,0.56,6.69%,2.28%,3.06%
2129,600242.SS,3.52B,1.65,N/A,-67.56%,1.20%,-103.98%
2130,600520.SS,1.41B,3.45,0.37,-25.84%,-3.00%,-16.34%
2131,002561.SZ,3.25B,1.42,0.46,9.38%,4.16%,7.23%
2132,603178.SS,1.54B,2.10,0.58,-15.33%,-2.28%,-29.07%
2133,002240.SZ,5.24B,2.34,0.72,-6.78%,-1.88%,-4.97%
2134,300350.SZ,1.84B,1.85,0.71,-104.05%,-2.46%,-57.53%
2135,600648.SS,15.02B,1.56,0.64,5.26%,1.82%,3.90%
2136,002120.SZ,68.59B,5.37,0.05,7.24%,8.24%,18.35%
2137,600791.SS,1.65B,0.97,0.83,0.41%,0.78%,0.55%
2138,000751.SZ,3.91B,1.52,0.88,2.62%,3.24%,7.66%
2139,603368.SS,8.15B,1.94,0.45,4.71%,5.21%,17.17%
2140,600316.SS,8.70B,1.75,0.98,2.76%,0.53%,2.37%
2141,300756.SZ,2.12B,2.08,N/A,14.10%,1.63%,7.24%
2142,603101.SS,2.40B,1.75,N/A,0.59%,1.65%,1.76%
2143,300500.SZ,2.59B,1.87,0.05,12.34%,4.30%,11.89%
2144,600746.SS,1.81B,3.61,N/A,-0.95%,N/A,-1.16%
2145,000971.SZ,2.17B,1.12,N/A,-86.97%,0.58%,-45.56%
2146,300812.SZ,3.98B,11.71,N/A,19.32%,6.74%,18.25%
2147,002099.SZ,9.96B,1.74,N/A,25.08%,6.75%,12.85%
2148,002508.SZ,26.93B,4.22,1.12,20.47%,10.78%,22.01%
2149,600283.SS,3.58B,1.96,N/A,3.42%,2.49%,3.36%
2150,002217.SZ,17.33B,1.45,0.89,5.23%,2.61%,7.49%
2151,300025.SZ,2.25B,2.95,-0.08,-24.37%,-2.79%,-39.37%
2152,601108.SS,36.28B,1.77,0.76,36.33%,2.49%,8.06%
2153,600983.SS,4.82B,1.20,N/A,-6.11%,-1.61%,-8.20%
2154,603042.SS,2.38B,3.05,N/A,1.66%,0.64%,2.09%
2155,603056.SS,9.96B,2.56,N/A,1.25%,3.48%,8.01%
2156,300739.SZ,4.73B,3.65,0.25,11.94%,3.60%,10.49%
2157,600083.SS,1.96B,96.06,0.98,-92.06%,-8.23%,-262.79%
2158,601928.SS,16.57B,1.21,N/A,10.41%,2.81%,9.26%
2159,603877.SS,7.03B,2.22,0.23,6.19%,3.63%,13.23%
2160,002043.SZ,5.78B,3.45,0.95,6.20%,7.30%,15.26%
2161,600128.SS,1.62B,1.06,0.96,1.01%,-1.32%,1.18%
2162,000802.SZ,6.30B,1.31,0.74,-262.78%,-26.69%,-63.28%
2163,600064.SS,10.18B,0.99,N/A,62.86%,0.68%,16.54%
2164,002678.SZ,8.69B,2.59,0.97,7.93%,1.89%,4.24%
2165,600535.SS,20.91B,1.88,0.61,4.61%,4.18%,7.08%
2166,300514.SZ,2.21B,4.09,-0.17,7.48%,3.85%,10.26%
2167,601128.SS,18.75B,1.16,0.98,37.41%,1.08%,11.57%
2168,000526.SZ,3.82B,26.45,-0.12,-0.17%,1.19%,-6.58%
2169,688108.SS,6.44B,8.38,N/A,21.74%,N/A,N/A
2170,603012.SS,3.98B,1.59,0.49,13.27%,5.25%,12.00%
2171,002139.SZ,5.52B,2.20,0.96,8.41%,3.38%,13.72%
2172,600801.SS,39.69B,2.46,1.26,19.40%,14.11%,29.33%
2173,000520.SZ,3.80B,9.34,-0.91,2.77%,2.89%,5.28%
2174,300279.SZ,2.61B,2.77,-0.00,-0.31%,1.71%,-0.83%
2175,603766.SS,6.84B,0.98,1.08,5.28%,3.74%,6.61%
2176,002631.SZ,5.41B,2.96,0.30,1.91%,1.01%,1.21%
2177,002053.SZ,4.99B,1.25,0.44,12.61%,2.84%,5.66%
2178,600683.SS,2.76B,1.04,0.81,2.28%,1.03%,8.07%
2179,002337.SZ,1.92B,1.60,1.14,4.75%,-0.34%,1.71%
2180,002303.SZ,7.52B,1.46,0.48,15.43%,3.41%,9.85%
2181,300410.SZ,2.33B,1.22,0.72,-65.43%,-18.20%,-51.12%
2182,002176.SZ,3.67B,1.04,0.50,-88.35%,-17.35%,-78.14%
2183,300755.SZ,8.62B,3.48,N/A,8.41%,6.33%,13.00%
2184,000697.SZ,6.02B,2.01,0.65,-81.92%,-22.23%,-69.07%
2185,601137.SS,8.30B,2.27,0.56,5.93%,5.15%,12.60%
2186,600236.SS,36.02B,2.48,0.34,21.42%,4.83%,11.69%
2187,603800.SS,2.65B,2.63,0.21,8.31%,3.53%,9.14%
2188,600456.SS,9.90B,2.65,1.16,6.21%,3.17%,7.44%
2189,601588.SS,8.22B,0.52,1.07,5.87%,1.41%,6.22%
2190,688128.SS,7.24B,6.25,N/A,7.96%,5.15%,20.67%
2191,000968.SZ,8.54B,1.96,0.15,28.68%,5.55%,11.93%
2192,603165.SS,2.84B,1.99,0.75,14.54%,8.21%,16.47%
2193,300222.SZ,5.31B,1.17,0.97,-137.06%,-8.77%,-81.96%
2194,300407.SZ,2.76B,2.13,-0.15,3.07%,1.75%,4.51%
2195,688025.SS,3.58B,5.53,N/A,N/A,N/A,N/A
2196,601113.SS,2.88B,0.48,N/A,-15.43%,3.69%,-25.13%
2197,600837.SS,156.51B,1.17,1.11,28.39%,1.35%,6.28%
2198,300038.SZ,10.28B,0.93,0.30,8.68%,2.80%,4.21%
2199,002204.SZ,5.66B,0.85,N/A,0.68%,0.27%,0.56%
2200,000766.SZ,5.37B,1.10,0.52,-124.31%,-0.65%,-57.64%
2201,002330.SZ,3.37B,2.52,0.35,0.49%,0.65%,0.98%
2202,000068.SZ,3.08B,6.83,0.60,3.50%,-0.51%,1.01%
2203,688003.SS,5.00B,3.19,N/A,17.14%,N/A,N/A
2204,002583.SZ,10.74B,1.74,0.76,-48.59%,3.95%,-71.82%
2205,000655.SZ,2.88B,1.12,0.78,13.91%,3.68%,7.23%
2206,600884.SS,11.53B,1.00,N/A,1.92%,0.29%,1.64%
2207,002267.SZ,6.44B,1.11,0.80,4.34%,2.40%,6.37%
2208,600857.SS,2.18B,3.38,0.57,2.40%,0.73%,3.78%
2209,300221.SZ,2.13B,2.08,1.10,-14.32%,-0.29%,-15.00%
2210,603912.SS,4.14B,5.40,N/A,13.24%,N/A,N/A
2211,603598.SS,3.15B,5.02,0.70,-6.40%,4.45%,-45.28%
2212,300742.SZ,1.62B,1.53,N/A,-191.61%,-21.08%,-108.49%
2213,000428.SZ,2.85B,1.10,0.80,-0.97%,-1.29%,-2.88%
2214,300014.SZ,56.31B,7.83,1.10,23.77%,4.24%,27.02%
2215,002529.SZ,1.99B,1.47,N/A,-270.58%,-4.67%,-44.32%
2216,601965.SS,8.66B,1.92,0.85,15.78%,5.62%,9.19%
2217,300309.SZ,3.03B,1.45,0.26,-142.39%,-2.44%,-105.01%
2218,300021.SZ,3.99B,2.76,1.20,4.07%,3.07%,5.08%
2219,300591.SZ,1.84B,3.65,-0.04,0.02%,1.50%,0.69%
2220,600156.SS,1.81B,2.51,0.43,-6.74%,-3.76%,-9.49%
2221,600682.SS,11.31B,0.74,N/A,17.72%,5.98%,11.34%
2222,002249.SZ,7.88B,1.13,0.72,1.29%,0.52%,1.02%
2223,300579.SZ,6.46B,9.51,1.04,10.96%,4.35%,13.19%
2224,603286.SS,1.33B,2.99,N/A,5.37%,N/A,6.30%
2225,000040.SZ,4.91B,0.34,0.73,-19.88%,-1.81%,-7.28%
2226,300696.SZ,4.54B,5.63,-0.71,40.69%,5.89%,9.80%
2227,300438.SZ,6.19B,2.53,-0.26,4.53%,2.05%,6.15%
2228,600970.SS,10.51B,1.03,0.83,6.58%,2.69%,14.93%
2229,002108.SZ,4.72B,1.44,0.89,5.85%,2.69%,4.80%
2230,603936.SS,5.39B,2.25,0.37,7.58%,3.44%,8.36%
2231,002691.SZ,1.71B,1.93,0.11,3.12%,0.95%,1.32%
2232,600166.SS,12.56B,0.83,N/A,-0.44%,-1.58%,-1.46%
2233,000809.SZ,1.73B,0.55,N/A,-46.28%,-0.04%,-2.70%
2234,300752.SZ,2.81B,3.46,N/A,3.57%,1.55%,7.96%
2235,600602.SS,8.88B,2.38,0.97,5.75%,0.80%,7.43%
2236,600708.SS,6.75B,0.49,N/A,4.19%,1.72%,6.05%
2237,300162.SZ,2.58B,2.75,1.02,3.63%,0.81%,3.48%
2238,600663.SS,38.84B,2.47,0.52,23.66%,4.97%,19.53%
2239,002709.SZ,10.71B,3.72,1.54,1.07%,1.07%,-0.49%
2240,603535.SS,2.28B,1.44,0.41,11.69%,4.62%,8.40%
2241,300203.SZ,5.42B,1.54,N/A,-1.11%,3.29%,0.94%
2242,600126.SS,20.80B,1.07,0.36,2.39%,1.04%,3.28%
2243,300190.SZ,5.70B,1.50,0.62,10.48%,3.34%,7.56%
2244,300701.SZ,3.50B,6.46,0.01,41.13%,10.02%,17.24%
2245,000590.SZ,2.52B,4.23,0.43,14.09%,1.54%,6.64%
2246,600338.SS,7.19B,2.68,N/A,27.29%,11.60%,25.30%
2247,002377.SZ,3.87B,0.73,0.81,4.94%,2.58%,4.43%
2248,002762.SZ,1.83B,1.84,0.32,8.12%,2.26%,3.23%
2249,000708.SZ,74.55B,2.95,0.34,7.53%,11.05%,34.98%
2250,600169.SS,5.26B,1.26,0.63,-13.43%,-0.25%,-25.58%
2251,300530.SZ,4.49B,8.66,-0.50,12.10%,-0.32%,3.02%
2252,688116.SS,7.27B,4.66,N/A,28.75%,N/A,N/A
2253,300573.SZ,7.65B,13.69,-0.04,4.74%,2.08%,3.14%
2254,603665.SS,2.23B,2.13,N/A,4.86%,3.93%,4.55%
2255,300040.SZ,1.91B,0.94,0.82,5.09%,1.14%,2.33%
2256,601019.SS,13.50B,1.33,N/A,15.33%,5.69%,14.10%
2257,002770.SZ,2.85B,1.60,N/A,-20.77%,-0.25%,-6.96%
2258,000503.SZ,11.31B,10.66,1.29,-3.07%,-8.83%,-0.47%
2259,000416.SZ,2.37B,2.68,N/A,34.17%,2.28%,3.35%
2260,688111.SS,103.49B,17.05,N/A,25.52%,N/A,31.03%
2261,688398.SS,3.59B,11.59,N/A,13.21%,6.98%,17.37%
2262,603378.SS,5.40B,4.03,0.76,3.00%,3.01%,5.50%
2263,300039.SZ,5.60B,2.21,0.58,17.68%,5.44%,8.99%
2264,300389.SZ,2.75B,2.03,0.76,5.15%,2.16%,8.22%
2265,002730.SZ,2.27B,2.31,0.31,4.20%,3.18%,4.18%
2266,300444.SZ,2.36B,1.57,0.02,-41.35%,-1.90%,-81.02%
2267,300312.SZ,2.08B,10.59,N/A,10.96%,-1.82%,5.67%
2268,300523.SZ,9.12B,6.39,0.64,6.14%,4.73%,9.10%
2269,600789.SS,8.43B,2.80,0.83,2.10%,0.77%,2.71%
2270,002659.SZ,2.66B,1.31,N/A,5.26%,2.23%,1.91%
2271,600601.SS,6.89B,2.43,N/A,-22.76%,N/A,-43.60%
2272,603655.SS,2.59B,5.35,N/A,14.33%,N/A,4.75%
2273,000997.SZ,16.62B,2.93,0.79,8.77%,3.30%,8.90%
2274,600800.SS,5.21B,42.33,0.58,0.00%,-3.11%,-17.36%
2275,603256.SS,10.24B,7.30,N/A,15.77%,4.22%,7.97%
2276,300675.SZ,1.88B,4.61,0.70,8.25%,0.95%,9.30%
2277,603779.SS,1.69B,1.21,0.36,-14.11%,-1.57%,-5.92%
2278,600728.SS,14.87B,3.20,0.95,9.58%,0.26%,9.15%
2279,002046.SZ,3.09B,1.15,0.77,-1.70%,0.33%,-0.57%
2280,603076.SS,1.50B,1.81,0.06,-1.07%,1.37%,-0.97%
2281,002773.SZ,34.45B,7.73,-0.66,21.55%,7.39%,14.74%
2282,000726.SZ,6.37B,1.01,0.40,13.22%,4.38%,11.00%
2283,300368.SZ,3.72B,4.35,0.91,4.20%,2.77%,5.71%
2284,600160.SS,18.61B,1.43,0.57,3.54%,0.53%,4.14%
2285,601601.SS,237.08B,1.43,0.85,7.90%,1.57%,17.53%
2286,603208.SS,6.38B,5.18,0.45,13.82%,7.82%,22.87%
2287,600010.SS,52.42B,0.97,N/A,-0.23%,1.21%,0.25%
2288,600063.SS,7.15B,1.43,0.95,6.34%,3.21%,7.67%
